Nombre,Dirección,Población,Teléfono,Web
"Clínica Veterinària Family Vet","Carrer del Rosselló, 395, Local 6, Gràcia, 08025 Barcelona","Barcelona","637 84 43 98","http://www.familyvet.es/"
"Dacs Veterinària","Carrer de Lepant, 422, Horta-Guinardó, 08025 Barcelona","Barcelona","934 50 17 58","https://www.dacsveterinaria.com/"
"Vetsants Clínica Veterinària","Carrer del Tenor Masini, 23, Sants-Montjuïc, 08028 Barcelona","Barcelona","934 91 20 03","http://vetsants.es/"
"Clinica Veterinaria Provença","Carrer de Provença, 214, Bajos, Eixample, Eixample, 08036 Barcelona","Barcelona","937 07 02 49","https://hospitalvetpro.com/"
"Hospital Veterinaria del Mar","Carrer de la Marina, 69, Sant Martí, 08005 Barcelona","Barcelona","930 21 78 12","https://pide-cita-previa.evidensia.es/HVDelMar-GMB-Portal"
"Veterinari del Clínico","Carrer de Casanova, 157, Eixample, 08036 Barcelona","Barcelona","936 09 02 00","http://www.veterinaridelclinic.com/"
"Balmesvet Veterinaris Hospital 24 H.","Carrer de Balmes, 205, Sarrià-Sant Gervasi, 08006 Barcelona","Barcelona","931 17 31 73","https://www.balmesvet.com/"
"Tiendanimal","Av. Diagonal, 557, Les Corts, 08029 Barcelona","Barcelona","935 46 92 69",""
"HVC Sarrià","Av. de Sarrià, 137, A, Les Corts, 08017 Barcelona","Barcelona","932 05 72 38","http://hvc.cat/clinicas-hvc/sarria/"
"CENTRE VETERINARI LESSEPS","Carrer de Nil Fabra, 13, Gràcia, 08012 Barcelona","Barcelona","933 68 39 47",""
"La Veterinària de Sarrià","Carrer de Salvador Mundí, 15, Sarrià-Sant Gervasi, 08017 Barcelona","Barcelona","933 39 59 96","https://www.laveterinariadesarria.com/"
"Sanz Veterinaris","Travessera de Gràcia, 117Bis, Gràcia, 08012 Barcelona","Barcelona","932 17 08 94","https://barcelona.cool/categorias/veterinarios/sanz-veterinaris"
"Clínica veterinària Rovira","Plaça de Rovira i Trias, 6, Gràcia, 08024 Barcelona","Barcelona","932 18 23 15","https://clinicaveterinariarovira.com/"
"Centre Caní Còrsega","Carrer de Còrsega, 357, Gràcia, 08037 Barcelona","Barcelona","934 58 00 77",""
"Gracia Veterinaris","Carrer de Pere Serafí, 24, Gràcia, 08012 Barcelona","Barcelona","934 15 93 88","https://graciaveterinaris.com/"
"Centro Veterinario Taxdirt","Carrer del Llorer, 2, Gràcia, 08024 Barcelona","Barcelona","932 19 10 50","https://barcelona.cool/categorias/veterinarios/centro-veterinario-taxdirt"
"Clínica Veterinaria Rocabertí","Carrer de Rocabertí, 10, Sarrià-Sant Gervasi, 08017 Barcelona","Barcelona","932 04 98 31",""
"Clínica Veterinària Miquel Janer","Carrer de l'Avenir, 67, Sarrià-Sant Gervasi, 08021 Barcelona","Barcelona","932 00 11 36","https://cvmiqueljaner.com/"
"CLÍNICA VETERINÀRIA G & G","Av. de Sarrià, 41, Eixample, 08029 Barcelona","Barcelona","934 10 35 56",""
"Clínica Veterinària Grimm (VETERALIA)","Carrer de la Indústria, 18, Gràcia, 08037 Barcelona","Barcelona","934 58 70 60","http://grimmveterinaria.cat/"
"Centre Veterinari Delphis Slp","Carrer Major de Sarrià, 174, BAJO, Sarrià-Sant Gervasi, 08017 Barcelona","Barcelona","932 05 31 16","https://clinicaveterinariadelphis.com/"
"Exòtics Veterinaria","Carrer de Balmes, 423 interior, Sarrià-Sant Gervasi, 08022 Barcelona","Barcelona","935 13 30 64","https://exoticsveterinaria.com/contacto/"
"Clínica Veterinària Muntaner","C/ de Muntaner, 431, Sarrià-Sant Gervasi, 08021 Barcelona","Barcelona","932 01 42 86","http://www.clinicaveterinariamuntaner.com/"
"Hospital Veterinario Riera Alta Manso","Carrer de Manso, 56, Eixample, 08015 Barcelona","Barcelona","933 29 81 50","https://pide-cita-previa.evidensia.es/hvrieraalta-cp-portal"
"TomVets - Veterinarios a Domicilio","Pg. de St. Joan, 190, Gràcia, 08037 Barcelona","Barcelona","613 03 18 71",""
"Clínica Veterinària HortaVet","Plaça de Castelao, 2, Horta-Guinardó, 08031 Barcelona","Barcelona","933 57 25 34","http://www.hortavet.com/"
"Centre Veterinari Joanic","Carrer del Torrent de les Flors, 67, Gràcia, 08024 Barcelona","Barcelona","932 13 06 62","https://www.facebook.com/pages/CVJoanic/672829879394052?ref=hl"
"Hospital Veterinario MiVet Animalia","Carrer Creu Coberta, 130, Sants-Montjuïc, 08014 Barcelona","Barcelona","934 32 25 70","https://mivet.com/hospital-veterinario-animalia-barcelona/"
"Centro Veterinario Poble Sec","Passeig de Montjuïc, 26, Sants-Montjuïc, 08004 Barcelona","Barcelona","934 41 26 69","http://www.vidavet.es/"
"Sants Animals Clínica Veterinaria","Carrer del Rector Triadó, 86, bajo, Sants-Montjuïc, 08014 Barcelona","Barcelona","933 25 57 18","https://www.santsanimals.com/"
"Can Mascota","Carrer de la Constitució, 92, Sants-Montjuïc, 08014 Barcelona","Barcelona","932 96 41 65","http://www.canmascota.com/"
"Clínica Veterinaria VetPet Barcelona","Av. de Josep Tarradellas, 9, Sants-Montjuïc, 08029 Barcelona","Barcelona","602 25 11 29","https://cvetpet.gestorvet.com/modules.php"
"Bastet Veterinaris Clínica Veterinària","Rambla del Brasil, 4, Sants-Montjuïc, 08028 Barcelona","Barcelona","934 91 10 41","https://www.bastetveterinaris.com/"
"INVET Centre Veterinari","Carrer de Pavia, 91, Sants-Montjuïc, 08028 Barcelona","Barcelona","933 95 94 94","https://www.invetcentreveterinari.es/"
"Clinica Veterinaria Sants","Carrer de Rossend Arús, 37, Sants-Montjuïc, 08014 Barcelona","Barcelona","932 96 56 25",""
"GAREM VETERINARIOS SANTS","Carrer del Vallespir, 21, Sants-Montjuïc, 08014 Barcelona","Barcelona","935 03 15 51","http://www.garemveterinarios.com/"
"Centre veterinari Badal y botiga Animalons","Carrer de Begur, 41, Sants-Montjuïc, 08028 Barcelona","Barcelona","934 31 97 98","http://www.veterinariosants.com/"
"Salus Veterinària SLP","Carrer del Vallespir, 77, Sants-Montjuïc, 08014 Barcelona","Barcelona","934 91 23 67","http://www.salusveterinaria.cat/"
"CLÍNICA VETERINÀRIA CORVET","Carrer de la Foneria, 1, Sants-Montjuïc, 08038 Barcelona","Barcelona","934 88 51 36","http://veterinariocorvet.com/"
"Clínica Veterinària Calafell Els Masos P","Passeig de Montjuïc, 26, Sants-Montjuïc, 08004 Barcelona","Barcelona","934 43 33 15",""
"Centre Veterinari Pisadas","Carrer de Vallhonrat, 25, Sants-Montjuïc, 08004 Barcelona","Barcelona","934 24 06 74",""
"Clínica Veterinària Paral·lel","Plaça de las Navas, 4, Sants-Montjuïc, 08004 Barcelona","Barcelona","933 28 48 88",""
"VETERINARIO A DOMICILIO BCN","Carrer de Sants, 240, Sants-Montjuïc, 08028 Barcelona","Barcelona","606 57 84 73",""
"Clínica Veterinària Animàlia Botiga Especialitzada","Carrer 26 de Gener de 1641, 46, Sants-Montjuïc, 08014 Barcelona","Barcelona","934 32 25 70",""
"Tres Torres Veterinaris Barcelona","Carrer de Girona, 90, Eixample, 08009 Barcelona","Barcelona","934 87 95 04","http://www.veterinari.cat/"
"Curasana","Bajos, Pg. del Taulat, 279A, 08019 Barcelona","Barcelona","933 56 11 73","https://api.whatsapp.com/send?phone=34933561173&text=%C2%A1Hola!%20Me%20gustar%C3%ADa%20programar%20una%20consulta%20para%20mi%20mascota.%20%C2%A1Gracias!"
"Centre Veterinari Les Corts","Carrer de Nicaragua, 90, Les Corts, 08029 Barcelona","Barcelona","934 30 56 96","http://www.centreveterinarilescorts.com/"
"Viladogcat Veterinarios","Carrer de Viladomat, 16, Eixample, 08015 Barcelona","Barcelona","936 39 48 52","http://www.viladogcat.com/"
"Karibuni Veterinària","Av. de Mistral, 62, Eixample, 08015 Barcelona","Barcelona","934 23 40 46","http://www.vidavet.es/"
"Clínica veterinària Carles III","Gran Via de Carles III, 67, Les Corts, 08028 Barcelona","Barcelona","934 91 23 88",""
"Clínica Veterinària Sanllehy","Passeig de Sanllehy, 53, 08213 Barcelona","Barcelona","937 13 06 13",""
"HOSPITAL VETERINARI GARBÍ","N-2, Km 643, Local 14, 08349 Barcelona","Barcelona","937 59 15 70","https://widget.petsapp.com/?groupId=cd8aa421-5e6e-4033-9c11-3546a631dea6&clinicId=c4bb9f02-ee7b-40d3-aaa5-062cce5c35f5&widgetAlwaysOpened=1&initialView=appointment"
"Medivet 24 Horas Santa Susanna","N-2, Km. 672, 5, 08398 Barcelona","Barcelona","937 67 77 92",""
"CLÍNICA VETERINÀRIA GAVÀ","Carrer de Begues, 6, 08850 Barcelona","Barcelona","936 62 59 51","http://clinicaveterinariagava.com/"
"Clínica Veterinària Solvet - L'Hospitalet de Llobregat","Carrer de Torns, 10, 08904 BARCELONA, Barcelona","BARCELONA","937 37 20 55","http://pide-cita-previa.evidensia.es/solvet-cp-portal"
"Provitas Veterinaria","Carrer de Laureà Miró, 266, 274 LOCAL-2, 08950 BARCELONA, Barcelona","BARCELONA","938 97 51 95","https://pide-cita-previa.evidensia.es/provitas-cp-portal"
"Vet24 Hospital Veterinario","Carrer de la Màquina, 51, 08850 BARCELONA, Barcelona","BARCELONA","936 38 90 31","https://pide-cita-previa.evidensia.es/Vet24-cp-portal"
"Clinica Veterinaria Calafell","Carrer Mallorca, 47, 43820 Calafell, Tarragona","Calafell","977 69 48 41","http://www.vidavet.es/"
"NG Centre Veterinari Calella","Carrer de Barcelona, 14, local 1, 08370 Calella, Barcelona","Calella","937 69 13 06","https://www.ngveterinaris.cat/"
"Josep Estañol Masvidal","Rierany dels Frares, 25, 08370 Calella, Barcelona","Calella","937 66 11 96",""
"Clínica Veterinària Tecnos","Carrer de la Bruguera, 185, 08370 Calella, Barcelona","Calella","937 66 40 63","http://www.tecnosvet.com/"
"Vovet Serveis Veterinaris","Carrer Isidre Duran, 2, 08420 Canovelles, Barcelona","Canovelles","938 49 50 70","https://vovet.es/"
"Hospital Veterinario VetVida especialitats i urgencies 24hores","89 Bis, Carrer d'Arcadi Balaguer, 08860 Castelldefels, Barcelona","Castelldefels","931 74 78 01","http://www.vetvida.es/"
"Vets Clinica Veterinaria","Carrer Pau Casals, 1, Bajos, 08860 Castelldefels, Barcelona","Castelldefels","936 36 21 47","http://www.clinicavets.com/"
"NEXO Ohana Vet Castelldefels","Av. de la Constitució, 97, local A, 08860 Castelldefels, Barcelona","Castelldefels","933 82 15 20","http://nexoveterinarios.es/"
"Clínica Veterinaria Pineda","Av. de la Pineda, 55, 08860 Castelldefels, Barcelona","Castelldefels","936 36 33 53","http://veterinariapinedacastelldefels.es/"
"Clínica Veterinària Diagonal (VETERALIA)","Av. Diagonal, 16, 08860 Castelldefels, Barcelona","Castelldefels","936 36 22 26","https://www.veteralia.com/clinica-veterinaria-diagonal/"
"Clínica Veterinària Castelldefels Albó","Carrer del Dr. Barraquer, 10, 08860 Castelldefels, Barcelona","Castelldefels","936 64 30 52",""
"Clínica Veterinària Els Llops","Avinguda 300, 24, LOCAL, 08860 Castelldefels, Barcelona","Castelldefels","936 34 21 88","http://www.clinicaveterinariaelsllops.com/"
"centro veterinario playafels","Pg. Marítim, 243, 08860 Castelldefels, Barcelona","Castelldefels","936 36 42 37","https://www.veterinarioplayafels.com/"
"Centre Veterinari Cerdanyola","Av. de Sant Iscle, 21, 08290 Cerdanyola del Vallès, Barcelona","Cerdanyola del Vallès","936 91 43 21","http://www.centreveterinari.com/"
"Dispensari Veterinari del Vallès","Plaça del Castanyer, 3, 08290 Cerdanyola del Vallès, Barcelona","Cerdanyola del Vallès","935 80 91 90","http://www.dispensariveterinari.com/veterinaris/cerdanyola-del-valles"
"CanVetGos","Passatge dels Ametllers, 17, local 3, 08290 Cerdanyola del Vallès, Barcelona","Cerdanyola del Vallès","624 30 48 96","http://www.canvetgos.es/"
"Clínica Veterinària Canaletes","Avinguda de Guiera, 16, 08290 Cerdanyola del Vallès, Barcelona","Cerdanyola del Vallès","935 80 67 15","https://www.clinicaveterinariacanaletes.es/"
"Clínica Veterinaria El Cau","Ctra. d'Esplugues, 127, 08940 Cornellà de Llobregat, Barcelona","Cornellà de Llobregat","933 75 39 42","https://clientes.clinicaelcau.com/"
"Diagnosi Veterinària","Av. de la Porta Diagonal, 32, bajos, 08940 Cornellà de Llobregat, Barcelona","Cornellà de Llobregat","933 77 78 73","http://www.diagnosiveterinaria.com/"
"Centre Veterinari Bonavista","Carrer Bonavista, 15, 08940 Cornellà de Llobregat, Barcelona","Cornellà de Llobregat","933 76 81 75",""
"Centro Veterinario San Ildefonso","Carrer del Doctor, Carrer de Joan Arús i Borràs, 12, 08940 Cornellà de Llobregat, Barcelona","Cornellà de Llobregat","933 76 16 45","https://centroveterinariosanildefonso.mydurable.com/"
"Cornellà Modern Veterinaris","Carrer de Cornellà Modern, 60, local 3, 08940 Cornellà de Llobregat, Barcelona","Cornellà de Llobregat","933 76 17 85","http://cmveterinaris.com/"
"Centre Veterinari de Cornellà","Carrer de Marcelino Menéndez Pelayo, 37, 08940 Cornellà de Llobregat, Barcelona","Cornellà de Llobregat","934 74 04 04","http://www.veterinario.es/"
"Zoo Cornellà Veterinaris","Carrer de Cristòfor Llargués i Campmany, 14, 08940 Cornellà de Llobregat, Barcelona","Cornellà de Llobregat","936 81 55 30",""
"Unitat Veterinaria","Carrer de Joaquim Rubió i Ors, 190, 192, 08940 Cornellà de Llobregat, Barcelona","Cornellà de Llobregat","933 77 82 17","https://veterinariscornellaverdum.com/"
"Clínica Veterinària Les Franqueses","Carretera de Ribes, 181, 08520 Corró d'Avall, Barcelona","Corró d'Avall","938 40 24 10","http://www.clinicaveterinarialesfranqueses.com/"
"Vetropía Veterinaria","Carretera de Ribes, 9, 08520 Corró d'Avall, Barcelona","Corró d'Avall","930 13 11 01","http://www.vetropiaveterinaria.com/"
"AniCura Lauro Hospital Veterinari","Camí Antic de Vic, 9, 08520 Corró d'Avall, Barcelona","Corró d'Avall","938 46 31 66","https://anicuraes.abupet.com/esabupet/client/index.html?CLINIC=LAURO"
"Centre Veterinari Ocata","Av. Joan Maragall, 19, Local B, 08320 El Masnou, Barcelona","El Masnou","935 55 13 73","http://www.facebook.com/centreveterinariocata"
"Serveis Veterinaris Baix Llobregat","Carrer Barcelona, 28, 08292 Esparreguera, Barcelona","Esparreguera","937 72 91 36","http://www.serveisveterinarisbaixllobregat.com/"
"HVC Roc Verd","Av. de Cornellà, 127, 08950 Esplugues de Llobregat, Barcelona","Esplugues de Llobregat","934 73 11 66","http://hvc.cat/clinicas-hvc/roc-verd/"
"VeterClínic Esplugues","Carrer del Carme, 21, 08950 Esplugues de Llobregat, Barcelona","Esplugues de Llobregat","933 72 05 72","http://veterclinicesplugues.com/"
"Centre Veterinari Esplugues","Carrer del Bruc, 7, 08950 Esplugues de Llobregat, Barcelona","Esplugues de Llobregat","609 50 91 98",""
"TresVet","Carrer d'Àngel Guimerà, 17, 1°, 08950 Esplugues de Llobregat, Barcelona","Esplugues de Llobregat","933 72 56 85","http://www.tresvet.com/"
"Clínica Veterinària Tot Fauna (VETERALIA)","Carretera de Santa Creu de Calafell, 56, 08850 Gavà, Barcelona","Gavà","936 62 77 63","http://www.veteralia.com/clinica-veterinaria-tot-fauna-gava/"
"Clínica Veterinària Les Bóbiles","Av. de les Bòbiles, 30, 08850 Gavà, Barcelona","Gavà","936 33 56 30","http://www.cvlesbobiles.com/"
"Vetercan","Av. de la Riera de Sant Llorenç, 113, 08850 Gavà, Barcelona","Gavà","936 62 00 99","https://vetercan.es/"
"Clínica Veterinària Montau","Carrer del Centre, 25, Local 1, 08850 Gavà, Barcelona","Gavà","936 62 35 13","http://www.cvmontau.com/"
"La Llar del Veterinari","Camí Vell de Canovelles, 53, 08403 Granollers, Barcelona","Granollers","938 46 54 83","http://www.lallardelveterinari.com/"
"Medivet Clínica Veterinaria Granollers","Carrer de Francesc Ribas, 72, 08402 Granollers, Barcelona","Granollers","938 70 36 54",""
"Hospital Veterinari Vallès","Carrer de Miguel de Cervantes Saavedra, 27, 08402 Granollers, Barcelona","Granollers","938 79 68 47","https://hospitalveterinarivalles.com/"
"Basset","Carrer del Lliri, 18, 08402 Granollers, Barcelona","Granollers","938 70 95 32","http://basset.es/"
"Dog22","Carrer de Josep Umbert i Ventura, 8, 08402 Granollers, Barcelona","Granollers","722 61 74 22",""
"Lupoveterinaris","Plaça Josep Torras i Bages, 4, 08402 Granollers, Barcelona","Granollers","938 70 42 87","http://www.lupoveterinaris.com/"
"Clínica Veterinaria Buups","Carrer de Francesc Macià i Llussà, 257, 08402 Granollers, Barcelona","Granollers","938 70 00 31",""
"Centre Clinic Veterinari Dr. Santi Ribell","Carrer de Josep Torras I Bages, 28, 08401 Granollers, Barcelona","Granollers","609 71 45 79","https://www.santiribell.com/consultes-online"
"Hospital General de Granollers","Carrer de Francesc Ribas, s/n, 08402 Granollers, Barcelona","Granollers","938 42 50 00","http://www.fphag.org/"
"Veter Centre","Carrer de les Germanes Castells, 16, 08700 Igualada, Barcelona","Igualada","938 04 70 00","http://www.vetercentre.com/"
"HVC Igualada","Carrer de Sant Joan Baptista, 50, 08700 Igualada, Barcelona","Igualada","938 04 42 12","http://hvc.cat/clinicas-hvc/anoia-veterinaria-igualada/"
"Aquivets | Clínica Veterinaria Igualada","Carrer d'Alemanya, 47, 08700 Igualada, Barcelona","Igualada","931 48 91 50","https://www.aquivets.com/"
"Calvet animals i plantes","Carrer d'Alemanya, 47, 08700 Igualada, Barcelona","Igualada","938 04 58 01","https://www.calvet.net/"
"GAREM Veterinarios Igualada","Av. de Barcelona, 40, 08700 Igualada, Barcelona","Igualada","930 27 85 26","https://garemveterinarios.com/"
"ADN Veterinari","Carrer de Galícia, 19, 08700 Igualada, Barcelona","Igualada","938 04 48 75","http://www.adnveterinari.cat/"
"Igualvet","Carrer del Bruc, 52, 08700 Igualada, Barcelona","Igualada","938 06 81 49","https://igualvet.com/#reserva-cita"
"ADN, Mascotes i Complements","Carrer de Galícia, 19, 08700 Igualada, Barcelona","Igualada","938 04 48 75",""
"GAREM Veterinarios 24 horas","Rambla Catalana, 9, 08903 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","930 16 52 13","http://www.garemveterinarios.com/"
"Centre Veterinari de l'Hospitalet","Carrer Provença, 69, veterinario, 08901 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","933 38 02 41","http://www.cvhospitalet.com/"
"HOSPITAL VETERINARIO AVINGUDA","Carrer de Marcel·lí Esquius, 53, 08906 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","934 38 44 74","http://www.cvavinguda.com/"
"Clínica Veterinària Llobregat","Carrer de la Unió, 42, 08902 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","933 32 22 07","https://veterinariallobregat.com/"
"Centre Veterinari Sant Roc","Carrer de la Renclusa, 6, 08905 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","934 37 53 52","https://cvsantroc.com/"
"Clínica Veterinaria L'HOSPITALVET","Av. del Carrilet, 127, 08902 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","624 49 05 67","https://www.lhospitalvet.es/"
"Clínica Veterinària Gàtika - Veterinario Collblanc","Carrer 11 de Setembre, 10, 12, 08903 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","656 60 05 62","https://www.instagram.com/cvgatika"
"Clínica veterinària Sant Francesc","Passatge de la Pau, 3, 08901 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","933 38 66 44","http://www.clinicaveterinariasantfrancesc.com/"
"Centre Veterinari la Florida","Avinguda del Torrent Gornal, 20, 08904 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","934 40 61 86","http://www.centreveterinari.net/"
"Centre Veterinari Mascota","Carrer de les Esquadres, 22, 08901 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","933 38 39 53","http://www.centreveterinarimascota.es/"
"Vetpoint Clínica Veterinària","Carrer de Castelao, 154, 08902 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","932 96 62 09","https://www.vetpointclinicaveterinaria.com/es/homepage/"
"Canitas Veterinaria L’Hospitalet de Llobregat – CC La Farga (Centro de información)","Av. de Josep Tarradellas i Joan, 08901 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","918 31 00 10",""
"CENTRE VETERINARI ARTVIU","Carrer 11 de Setembre, 5, local, 08903 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","934 49 69 37",""
